"What is the make, model, and year of your vehicle",How old are you,Which smartphone OS do you primarily use,How often do you use phone mirroring in the car,Which infotainment setup does your car have,Which screen layout does your car have,Why do you prefer your current infotainment setup,Which map provider do you prefer while driving,Why do you prefer the above selected map provider,Which music/media platforms do you use most,Do you use an in-car app store Apps provided by Auto OEM,Which in-car apps do you use the most at present,Boot-up time,Interface & responsiveness,Bluetooth pairing,Wired / wireless mirroring connection,Voice recognition,Navigation search & accuracy,Notification overload,SIM connectivity,Screen glare / sunlight visibility,Feature inconsistency between car and app,"For most in-car digital tasks, do you prefer built-in apps or smartphone mirroring",Which of these features do you expect as a standard offering in your next car,Do you actively use the OEM companion app to interact with your vehicle remotely,How do you usually respond when a connected vehicle feature fails while driving,"Based on the UI designs shown below, which connected car app experience would you prefer using daily",What could be the main reasons of not using the OEM mobile app more often,How comfortable are you with over-the-air vehicle software updates,What is your preferred frequency for vehicle OTA (Over-the-Air) updates,AI assistant with contextual / predictive awareness,Smart home integration (control home devices from car),Seamless phone-to-car handoff (continue exactly where you left off),AR navigation / Heads-Up Display (HUD),Rear-seat passenger entertainment,Full multilingual / regional language interface,Does the quality of infotainment and connected features influence your car purchase decision,Which pricing model feels most acceptable for connected car features,"Basic connected pack OTA updates, Wi-Fi hotspot, live vehicle diagnostics","Safety & security pack Emergency SOS, stolen vehicle tracking, geo-fence & speed alerts","Navigation & maps pack Real-time traffic updates, offline maps, EV charging station routing","Remote convenience pack Remote climate control, lock/unlock, remote engine start, vehicle locator","Premium digital pack  AI assistant, smart home, AR HUD","Basic connected pack  OTA updates, Wi-Fi hotspot, live vehicle diagnostics","Safety & security pack  Emergency SOS, stolen vehicle tracking, geo-fence & speed alerts","Navigation & maps pack Real-time traffic updates, offline maps, EV charging station routing2","Remote convenience pack  Remote climate control, lock/unlock, remote engine start, vehicle locator","Premium digital pack  AI assistant, smart home, AR HUD2",What would increase your trust in connected vehicle services the most_Better feature usefulness and value,What would increase your trust in connected vehicle services the most_Clear consent and data transparency,What would increase your trust in connected vehicle services the most_Easy data deletion and account control options,What would increase your trust in connected vehicle services the most_Feature not available,What would increase your trust in connected vehicle services the most_I don't trust,What would increase your trust in connected vehicle services the most_Independent security certifications,What would increase your trust in connected vehicle services the most_Strong brand reputation,What would increase your trust in connected vehicle services the most_Strong privacy controls,What would increase your trust in connected vehicle services the most_Transparent pricing and subscription policies,Which features are missing from your current car that you actively wish you had_AR / HUD navigation,Which features are missing from your current car that you actively wish you had_Auto parking,Which features are missing from your current car that you actively wish you had_Better offline maps,Which features are missing from your current car that you actively wish you had_Better regional language support,Which features are missing from your current car that you actively wish you had_Digital key,Which features are missing from your current car that you actively wish you had_EV charging navigation,Which features are missing from your current car that you actively wish you had_Faster / smoother voice assistant,Which features are missing from your current car that you actively wish you had_In-car payments,Which features are missing from your current car that you actively wish you had_Multi-user profiles,Which features are missing from your current car that you actively wish you had_Phone-to-car seamless handoff,Which features are missing from your current car that you actively wish you had_Rear-seat screens,Which features are missing from your current car that you actively wish you had_Remote AC / lock via app,Which features are missing from your current car that you actively wish you had_Smart home integration,Which features are missing from your current car that you actively wish you had_Wireless Android Auto / CarPlay,Which interaction methods do you prefer the most while using your infotainment system_Gesture,Which interaction methods do you prefer the most while using your infotainment system_Physical controls,Which interaction methods do you prefer the most while using your infotainment system_Touch,Which interaction methods do you prefer the most while using your infotainment system_Voice
Hyundai Creta 2023,41-50,iOS ,Very often,Native OEM(OS) + Android Auto & Apple CarPlay,Dual screen,UI/UX;Voice Support;Better maps;Better music / media;Reliability & Speed;,Google Maps,Accuracy & Local roads coverage;Live Traffic data;User Interface;Offline use;,Spotify;YouTube Music;Gaana;Amazon Music;FM / radio;,Sometimes,Navigation apps;Music apps;EV charging apps;Browser / Internet;Parking apps;,1,2,2,2,2,2,2,2,3,3,Smartphone mirroring,Wireless mirroring (AA / CarPlay);OTA software updates;Voice assistant;Remote vehicle controls via app;Vehicle health monitoring;EV charging integration;,"Yes, regularly ",Ask my passenger to handle it,Nio ET7;,Not enough useful features ;login issues;,Very comfortable,Only when needed,5,5,5,2,4,2,Yes - it's a primary factor,"Complementary initially, then annual subscription",,,,,,"₹1,000-₹3,000",₹0 - Not willing to pay,"₹1,000-₹3,000","₹1,000-₹3,000","₹1,000-₹3,000",1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1
"Honda WRV, 2022",36-40,Android ,Very often,Android Automotive (built -in Google),Single screen,Better music / media;Better maps;Variety of Apps;Reliability & Speed;,Google Maps,Accuracy & Local roads coverage;Live Traffic data;User Interface;,Spotify;,Never,Navigation apps;Music apps;Messaging apps;News apps;Other apps are not present in my car;,5,5,5,5,4,4,4,4,4,4,Built-in apps,Wireless mirroring (AA / CarPlay);OTA software updates;Voice assistant;Navigation (Maps);Remote vehicle controls via app;Digital key;Multi-user profiles;Vehicle health monitoring;EV charging integration;SOS / emergency services;In-car app store;,Not installed ,Restart the infotainment system,My BMW;Tesla;Me4U: Mahindra eSUV for You;,not installed in my car;,Neutral,Quarterly,5,5,5,5,5,4,Yes - it's a primary factor,One-time upfront lifetime unlock,₹10k-15k,₹0 - Not willing to pay,₹0 - Not willing to pay,₹10k-15k,₹10k-15k,,,,,,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
"Maruti Suzuki, Vitara Brezza, 2017",41-50,Both equally ,Rarely,Native OEM operating system(OS) only,Single screen,UI/UX;Better maps;Voice Support;,Google Maps,Accuracy & Local roads coverage;User Interface;,Spotify;FM / radio;,Sometimes,Navigation apps;Music apps;Parking apps;Browser / Internet;Messaging apps;,4,3,1,5,2,2,1,5,5,3,Built-in apps,Wireless mirroring (AA / CarPlay);Voice assistant;Navigation (Maps);Remote vehicle controls via app;EV charging integration;SOS / emergency services;,Not installed ,Restart the infotainment system,Tesla;,Not enough useful features ;Privacy concerns ;,Comfortable,Monthly,5,5,5,5,5,5,Yes - it's a primary factor,One-time upfront lifetime unlock,₹0 - Not willing to pay,₹10k-15k,₹0 - Not willing to pay,₹10k-15k,₹10k-15k,,,,,,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
Skoda Rapid,41-50,Android ,Very often,Native OEM(OS) + Android Auto,Single screen,Better music / media;,Google Maps,Live Traffic data;,Spotify;YouTube Music;JioSaavn;FM / radio;,Sometimes,Navigation apps;Music apps;Messaging apps;Weather apps;Parking apps;,1,1,1,1,1,1,1,1,1,1,Both,Navigation (Maps);Digital key;Vehicle health monitoring;EV charging integration;SOS / emergency services;Wireless mirroring (AA / CarPlay);,Installed but rarely use ,Contact customer care,Hyundai Bluelink;Kia Connect;My BMW;Zeekr;,Not enough useful features ;update missing after some time;,Very comfortable,Quarterly,4,2,5,2,4,5,Somewhat - it matters but isn't the main driver,One-time upfront lifetime unlock,₹0 - Not willing to pay,₹0 - Not willing to pay,₹0 - Not willing to pay,₹0 - Not willing to pay,₹10k-15k,,,,,,1,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1
HONDA ELIVATE 2025,31 - 35,Android ,Very often,Native OEM(OS) + Android Auto & Apple CarPlay,Single screen,Reliability & Speed;,Google Maps,User Interface;Accuracy & Local roads coverage;Offline use;,YouTube Music;FM / radio;,Sometimes,Vehicle management;Navigation apps;Music apps;Weather apps;Payments;,2,1,2,2,5,3,1,1,5,1,Smartphone mirroring,Wireless mirroring (AA / CarPlay);Voice assistant;Navigation (Maps);Remote vehicle controls via app;Digital key;Multi-user profiles;Vehicle health monitoring;EV charging integration;SOS / emergency services;In-car app store;OTA software updates;,Installed but rarely use ,Retry the feature,Zeekr;Nio ET7;My BMW;Tata Motors iRA 2.0;,login issues;Irrelevant notifications ;,Comfortable,Only when needed,3,2,5,5,2,2,Somewhat - it matters but isn't the main driver,"Complementary initially, then annual subscription",,,,,,₹0 - Not willing to pay,"₹1,000-₹3,000","₹1,000-₹3,000",₹0 - Not willing to pay,₹0 - Not willing to pay,1,1,1,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
"Mahindra, 3XO 2024",41-50,Android ,Very often,Native OEM(OS) + Android Auto & Apple CarPlay,Single screen,Better maps;Better music / media;Voice Support;,MapmyIndia,Accuracy & Local roads coverage;Live Traffic data;EV charging Stations;,Spotify;YouTube Music;,Sometimes,Navigation apps;Music apps;News apps;Parking apps;Messaging apps;,5,5,4,4,3,3,3,3,2,3,Built-in apps,Vehicle health monitoring;Digital key;Remote vehicle controls via app;In-car app store;,"Yes, occasionally ",Restart the infotainment system,Nio ET7;Zeekr;,Poor performance ;Not enough useful features ;login issues;,Neutral,Quarterly,5,5,5,5,2,5,Yes - it's a primary factor,One-time upfront lifetime unlock,₹10k-15k,₹10k-15k,₹10k-15k,₹15k-20k,₹15k-20k,,,,,,0,1,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1
"Ford Ecosport, 2019",26 - 30,Android ,Very often,Native OEM operating system(OS) only,Single screen,UI/UX;Reliability & Speed;Voice Support;,Google Maps,Accuracy & Local roads coverage;Live Traffic data;User Interface;,Spotify;YouTube Music;,Never,Navigation apps;Music apps;Weather apps;Messaging apps;Parking apps;,5,4,4,4,4,5,4,5,4,4,Both,Voice assistant;Wireless mirroring (AA / CarPlay);OTA software updates;Navigation (Maps);EV charging integration;,Not installed ,Switch to my phone,Hyundai Bluelink;Nio ET7;,Poor performance ;login issues;Irrelevant notifications ;,Very comfortable,Monthly,5,5,5,5,3,3,Somewhat - it matters but isn't the main driver,One-time upfront lifetime unlock,₹0 - Not willing to pay,₹0 - Not willing to pay,₹0 - Not willing to pay,₹0 - Not willing to pay,₹10k-15k,,,,,,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1
"TATA Nexon, 2024",21 - 25,iOS ,Very often,Native OEM(OS) + Apple CarPlay,Single screen,Better maps;Better music / media;,Google Maps,Live Traffic data;Accuracy & Local roads coverage;,YouTube Music;,Very Often,Navigation apps;Music apps;Messaging apps;that's it;Weather apps;,3,5,2,1,1,1,4,1,1,1,Both,Voice assistant;Navigation (Maps);Remote vehicle controls via app;Wireless mirroring (AA / CarPlay);,"Yes, occasionally ",Ask my passenger to handle it,Me4U: Mahindra eSUV for You;,Poor performance ;Not enough useful features ;I did not know the app had those features ;,Very comfortable,Only when needed,4,2,5,5,4,5,Somewhat - it matters but isn't the main driver,One-time upfront lifetime unlock,₹0 - Not willing to pay,₹0 - Not willing to pay,₹0 - Not willing to pay,₹10k-15k,₹15k-20k,,,,,,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1
"Tata Tiago, 2018",21 - 25,Android ,Very often,Native OEM(OS) + Android Auto,Dual screen,UI/UX;Reliability & Speed;Better maps;Better music / media;,Google Maps,Accuracy & Local roads coverage;Live Traffic data;User Interface;,Spotify;,Never,Navigation apps;Music apps;Parking apps;Calls;News apps;,2,2,1,1,3,2,3,2,3,2,Both,Navigation (Maps);Vehicle health monitoring;EV charging integration;Wireless mirroring (AA / CarPlay);,Not installed ,Use physical controls,My BMW;,Not enough useful features ;,Comfortable,Half-yearly,3,2,5,4,1,3,Somewhat - it matters but isn't the main driver,One-time upfront lifetime unlock,₹0 - Not willing to pay,₹0 - Not willing to pay,₹0 - Not willing to pay,₹10k-15k,₹15k-20k,,,,,,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1
"TATA Nexon, 2020",21 - 25,Android ,Never,Native OEM(OS) + Android Auto,Single screen,Better music / media;Variety of Apps;,Google Maps,Accuracy & Local roads coverage;,Spotify;FM / radio;,Sometimes,Music apps;Navigation apps;Weather apps;Browser / Internet;Messaging apps;,3,1,1,1,2,2,2,2,1,2,Built-in apps,In-car app store;,Installed but rarely use ,Retry the feature,Me4U: Mahindra eSUV for You;My BMW;Tata Motors iRA 2.0;,I did not know the app had those features ;,Neutral,Only when needed,3,3,5,3,5,5,Yes - it's a primary factor,One-time upfront lifetime unlock,₹10k-15k,₹15k-20k,₹10k-15k,₹0 - Not willing to pay,₹10k-15k,,,,,,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0
"Maruti Suzuki Brezza,2022",21 - 25,Android ,Rarely,Native OEM operating system(OS) only,Single screen,UI/UX;,Google Maps,Accuracy & Local roads coverage;Live Traffic data;User Interface;,Spotify;,Never,None;Navigation apps;Music apps;Weather apps;Parking apps;,3,4,3,3,1,1,1,1,3,3,Smartphone mirroring,Wireless mirroring (AA / CarPlay);OTA software updates;Voice assistant;Navigation (Maps);Vehicle health monitoring;EV charging integration;SOS / emergency services;In-car app store;,Not installed ,Retry the feature,My BMW;Tesla;,Poor performance ;Not enough useful features ;I did not know the app had those features ;,Very uncomfortable,Only when needed,1,1,1,2,3,4,No - I focus on other aspects,One-time upfront lifetime unlock,₹0 - Not willing to pay,₹0 - Not willing to pay,₹0 - Not willing to pay,₹0 - Not willing to pay,₹0 - Not willing to pay,,,,,,1,0,1,0,0,0,1,1,1,1,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0
Mercedes,51+,Both equally ,Very often,Native OEM(OS) + Android Auto & Apple CarPlay,Dual screen,Reliability & Speed;UI/UX;Voice Support;,Google Maps,Accuracy & Local roads coverage;Live Traffic data;Voice Search;POI search;,YouTube Music;Apple Music;Amazon Music;Dedicated podcast apps;,Very Often,Navigation apps;Messaging apps;News apps;Weather apps;Browser / Internet;,1,1,2,2,2,1,1,1,1,1,Built-in apps,Wireless mirroring (AA / CarPlay);Voice assistant;Navigation (Maps);Remote vehicle controls via app;Digital key;Vehicle health monitoring;SOS / emergency services;In-car app store;,"Yes, occasionally ",stable in my car,Tesla;Nio ET7;,Privacy concerns ;,Very comfortable,Monthly,1,1,4,4,4,1,Somewhat - it matters but isn't the main driver,One-time upfront lifetime unlock,₹0 - Not willing to pay,₹0 - Not willing to pay,₹0 - Not willing to pay,₹0 - Not willing to pay,₹0 - Not willing to pay,,,,,,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
